frequency,vm(out)
4.466836e-02,3.003672e+01
4.570882e-02,3.071598e+01
4.677351e-02,3.140964e+01
4.786301e-02,3.211795e+01
4.897788e-02,3.284115e+01
5.011872e-02,3.357947e+01
5.128614e-02,3.433315e+01
5.248075e-02,3.510243e+01
5.370318e-02,3.588754e+01
5.495409e-02,3.668871e+01
5.623413e-02,3.750615e+01
5.754399e-02,3.834011e+01
5.888437e-02,3.919078e+01
6.025596e-02,4.005839e+01
6.165950e-02,4.094314e+01
6.309573e-02,4.184523e+01
6.456542e-02,4.276485e+01
6.606934e-02,4.370218e+01
6.760830e-02,4.465741e+01
6.918310e-02,4.563068e+01
7.079458e-02,4.662216e+01
7.244360e-02,4.763198e+01
7.413102e-02,4.866028e+01
7.585776e-02,4.970717e+01
7.762471e-02,5.077274e+01
7.943282e-02,5.185709e+01
8.128305e-02,5.296027e+01
8.317638e-02,5.408234e+01
8.511380e-02,5.522332e+01
8.709636e-02,5.638321e+01
8.912509e-02,5.756201e+01
9.120108e-02,5.875967e+01
9.332543e-02,5.997613e+01
9.549926e-02,6.121130e+01
9.772372e-02,6.246506e+01
1.000000e-01,6.373726e+01
1.023293e-01,6.502774e+01
1.047129e-01,6.633628e+01
1.071519e-01,6.766264e+01
1.096478e-01,6.900655e+01
1.122018e-01,7.036771e+01
1.148154e-01,7.174577e+01
1.174898e-01,7.314034e+01
1.202264e-01,7.455102e+01
1.230269e-01,7.597735e+01
1.258925e-01,7.741883e+01
1.288250e-01,7.887494e+01
1.318257e-01,8.034508e+01
1.348963e-01,8.182866e+01
1.380384e-01,8.332502e+01
1.412538e-01,8.483345e+01
1.445440e-01,8.635324e+01
1.479108e-01,8.788360e+01
1.513561e-01,8.942372e+01
1.548817e-01,9.097274e+01
1.584893e-01,9.252979e+01
1.621810e-01,9.409394e+01
1.659587e-01,9.566423e+01
1.698244e-01,9.723967e+01
1.737801e-01,9.881925e+01
1.778279e-01,1.004019e+02
1.819701e-01,1.019866e+02
1.862087e-01,1.035722e+02
1.905461e-01,1.051576e+02
1.949845e-01,1.067416e+02
1.995262e-01,1.083232e+02
2.041738e-01,1.099011e+02
2.089296e-01,1.114743e+02
2.137962e-01,1.130415e+02
2.187762e-01,1.146016e+02
2.238721e-01,1.161534e+02
2.290868e-01,1.176958e+02
2.344229e-01,1.192276e+02
2.398833e-01,1.207477e+02
2.454709e-01,1.222550e+02
2.511886e-01,1.237485e+02
2.570396e-01,1.252271e+02
2.630268e-01,1.266898e+02
2.691535e-01,1.281355e+02
2.754229e-01,1.295635e+02
2.818383e-01,1.309727e+02
2.884032e-01,1.323622e+02
2.951209e-01,1.337314e+02
3.019952e-01,1.350794e+02
3.090295e-01,1.364055e+02
3.162278e-01,1.377091e+02
3.235937e-01,1.389895e+02
3.311311e-01,1.402462e+02
3.388442e-01,1.414787e+02
3.467369e-01,1.426866e+02
3.548134e-01,1.438694e+02
3.630781e-01,1.450269e+02
3.715352e-01,1.461587e+02
3.801894e-01,1.472646e+02
3.890451e-01,1.483445e+02
3.981072e-01,1.493983e+02
4.073803e-01,1.504258e+02
4.168694e-01,1.514271e+02
4.265795e-01,1.524021e+02
4.365158e-01,1.533511e+02
4.466836e-01,1.542740e+02
4.570882e-01,1.551710e+02
4.677351e-01,1.560423e+02
4.786301e-01,1.568882e+02
4.897788e-01,1.577090e+02
5.011872e-01,1.585048e+02
5.128614e-01,1.592761e+02
5.248075e-01,1.600232e+02
5.370318e-01,1.607464e+02
5.495409e-01,1.614463e+02
5.623413e-01,1.621231e+02
5.754399e-01,1.627773e+02
5.888437e-01,1.634094e+02
6.025596e-01,1.640198e+02
6.165950e-01,1.646091e+02
6.309573e-01,1.651776e+02
6.456542e-01,1.657259e+02
6.606934e-01,1.662545e+02
6.760830e-01,1.667638e+02
6.918310e-01,1.672544e+02
7.079458e-01,1.677268e+02
7.244360e-01,1.681815e+02
7.413102e-01,1.686189e+02
7.585776e-01,1.690396e+02
7.762471e-01,1.694441e+02
7.943282e-01,1.698328e+02
8.128305e-01,1.702062e+02
8.317638e-01,1.705648e+02
8.511380e-01,1.709090e+02
8.709636e-01,1.712394e+02
8.912509e-01,1.715564e+02
9.120108e-01,1.718603e+02
9.332543e-01,1.721517e+02
9.549926e-01,1.724310e+02
9.772372e-01,1.726985e+02
1.000000e+00,1.729546e+02
1.023293e+00,1.731998e+02
1.047129e+00,1.734345e+02
1.071519e+00,1.736589e+02
1.096478e+00,1.738735e+02
1.122018e+00,1.740785e+02
1.148154e+00,1.742744e+02
1.174898e+00,1.744615e+02
1.202264e+00,1.746400e+02
1.230269e+00,1.748102e+02
1.258925e+00,1.749725e+02
1.288250e+00,1.751271e+02
1.318257e+00,1.752743e+02
1.348963e+00,1.754143e+02
1.380384e+00,1.755474e+02
1.412538e+00,1.756738e+02
1.445440e+00,1.757938e+02
1.479108e+00,1.759075e+02
1.513561e+00,1.760152e+02
1.548817e+00,1.761171e+02
1.584893e+00,1.762133e+02
1.621810e+00,1.763040e+02
1.659587e+00,1.763894e+02
1.698244e+00,1.764697e+02
1.737801e+00,1.765449e+02
1.778279e+00,1.766153e+02
1.819701e+00,1.766810e+02
1.862087e+00,1.767421e+02
1.905461e+00,1.767986e+02
1.949845e+00,1.768508e+02
1.995262e+00,1.768987e+02
2.041738e+00,1.769424e+02
2.089296e+00,1.769820e+02
2.137962e+00,1.770175e+02
2.187762e+00,1.770491e+02
2.238721e+00,1.770768e+02
2.290868e+00,1.771006e+02
2.344229e+00,1.771206e+02
2.398833e+00,1.771369e+02
2.454709e+00,1.771494e+02
2.511886e+00,1.771582e+02
2.570396e+00,1.771633e+02
2.630268e+00,1.771647e+02
2.691535e+00,1.771625e+02
2.754229e+00,1.771565e+02
2.818383e+00,1.771468e+02
2.884032e+00,1.771335e+02
2.951209e+00,1.771163e+02
3.019952e+00,1.770954e+02
3.090295e+00,1.770707e+02
3.162278e+00,1.770422e+02
3.235937e+00,1.770097e+02
3.311311e+00,1.769732e+02
3.388442e+00,1.769326e+02
3.467369e+00,1.768880e+02
3.548134e+00,1.768391e+02
3.630781e+00,1.767859e+02
3.715352e+00,1.767283e+02
3.801894e+00,1.766662e+02
3.890451e+00,1.765994e+02
3.981072e+00,1.765279e+02
4.073803e+00,1.764515e+02
4.168694e+00,1.763700e+02
4.265795e+00,1.762834e+02
4.365158e+00,1.761914e+02
4.466836e+00,1.760939e+02
4.570882e+00,1.759907e+02
4.677351e+00,1.758816e+02
4.786301e+00,1.757664e+02
4.897788e+00,1.756449e+02
5.011872e+00,1.755170e+02
5.128614e+00,1.753822e+02
5.248075e+00,1.752405e+02
5.370318e+00,1.750916e+02
5.495409e+00,1.749352e+02
5.623413e+00,1.747711e+02
5.754399e+00,1.745989e+02
5.888437e+00,1.744185e+02
6.025596e+00,1.742293e+02
6.165950e+00,1.740313e+02
6.309573e+00,1.738240e+02
6.456542e+00,1.736071e+02
6.606934e+00,1.733802e+02
6.760830e+00,1.731431e+02
6.918310e+00,1.728953e+02
7.079458e+00,1.726364e+02
7.244360e+00,1.723661e+02
7.413102e+00,1.720839e+02
7.585776e+00,1.717895e+02
7.762471e+00,1.714825e+02
7.943282e+00,1.711623e+02
8.128305e+00,1.708285e+02
8.317638e+00,1.704807e+02
8.511380e+00,1.701185e+02
8.709636e+00,1.697414e+02
8.912509e+00,1.693488e+02
9.120108e+00,1.689403e+02
9.332543e+00,1.685154e+02
9.549926e+00,1.680737e+02
9.772372e+00,1.676146e+02
1.000000e+01,1.671376e+02
1.023293e+01,1.666422e+02
1.047129e+01,1.661279e+02
1.071519e+01,1.655943e+02
1.096478e+01,1.650407e+02
1.122018e+01,1.644668e+02
1.148154e+01,1.638719e+02
1.174898e+01,1.632557e+02
1.202264e+01,1.626177e+02
1.230269e+01,1.619573e+02
1.258925e+01,1.612742e+02
1.288250e+01,1.605679e+02
1.318257e+01,1.598379e+02
1.348963e+01,1.590840e+02
1.380384e+01,1.583056e+02
1.412538e+01,1.575025e+02
1.445440e+01,1.566742e+02
1.479108e+01,1.558206e+02
1.513561e+01,1.549414e+02
1.548817e+01,1.540363e+02
1.584893e+01,1.531050e+02
1.621810e+01,1.521475e+02
1.659587e+01,1.511637e+02
1.698244e+01,1.501533e+02
1.737801e+01,1.491165e+02
1.778279e+01,1.480532e+02
1.819701e+01,1.469635e+02
1.862087e+01,1.458475e+02
1.905461e+01,1.447053e+02
1.949845e+01,1.435371e+02
1.995262e+01,1.423432e+02
2.041738e+01,1.411240e+02
2.089296e+01,1.398797e+02
2.137962e+01,1.386107e+02
2.187762e+01,1.373176e+02
2.238721e+01,1.360008e+02
2.290868e+01,1.346610e+02
2.344229e+01,1.332986e+02
2.398833e+01,1.319143e+02
2.454709e+01,1.305089e+02
2.511886e+01,1.290829e+02
2.570396e+01,1.276373e+02
2.630268e+01,1.261726e+02
2.691535e+01,1.246898e+02
2.754229e+01,1.231895e+02
2.818383e+01,1.216726e+02
2.884032e+01,1.201399e+02
2.951209e+01,1.185920e+02
3.019952e+01,1.170297e+02
3.090295e+01,1.154537e+02
3.162278e+01,1.138644e+02
3.235937e+01,1.122622e+02
3.311311e+01,1.106475e+02
3.388442e+01,1.090201e+02
3.467369e+01,1.073799e+02
3.548134e+01,1.057260e+02
3.630781e+01,1.040571e+02
3.715352e+01,1.023712e+02
3.801894e+01,1.006647e+02
3.890451e+01,9.893292e+01
3.981072e+01,9.716821e+01
4.073803e+01,9.535937e+01
4.168694e+01,9.348918e+01
4.265795e+01,9.153076e+01
4.365158e+01,8.944077e+01
4.466836e+01,8.714652e+01
4.570882e+01,8.452002e+01
4.677351e+01,8.132202e+01
4.786301e+01,7.707304e+01
4.897788e+01,7.073806e+01
5.011872e+01,5.996815e+01
5.128614e+01,3.990517e+01
5.248075e+01,6.279817e+00
5.370318e+01,2.942772e+01
5.495409e+01,5.117924e+01
5.623413e+01,6.115354e+01
5.754399e+01,6.538844e+01
5.888437e+01,6.702034e+01
6.025596e+01,6.740106e+01
6.165950e+01,6.713301e+01
6.309573e+01,6.650583e+01
6.456542e+01,6.566968e+01
6.606934e+01,6.470783e+01
6.760830e+01,6.366913e+01
6.918310e+01,6.258362e+01
7.079458e+01,6.147057e+01
7.244360e+01,6.034279e+01
7.413102e+01,5.920900e+01
7.585776e+01,5.807534e+01
7.762471e+01,5.694620e+01
7.943282e+01,5.582478e+01
8.128305e+01,5.471344e+01
8.317638e+01,5.361396e+01
8.511380e+01,5.252769e+01
8.709636e+01,5.145563e+01
8.912509e+01,5.039855e+01
9.120108e+01,4.935704e+01
9.332543e+01,4.833154e+01
9.549926e+01,4.732236e+01
9.772372e+01,4.632972e+01
1.000000e+02,4.535378e+01
1.023293e+02,4.439463e+01
1.047129e+02,4.345231e+01
1.071519e+02,4.252681e+01
1.096478e+02,4.161810e+01
1.122018e+02,4.072610e+01
1.148154e+02,3.985071e+01
1.174898e+02,3.899183e+01
1.202264e+02,3.814932e+01
1.230269e+02,3.732303e+01
1.258925e+02,3.651279e+01
1.288250e+02,3.571843e+01
1.318257e+02,3.493976e+01
1.348963e+02,3.417658e+01
1.380384e+02,3.342871e+01
1.412538e+02,3.269592e+01
1.445440e+02,3.197800e+01
1.479108e+02,3.127475e+01
1.513561e+02,3.058593e+01
1.548817e+02,2.991133e+01
1.584893e+02,2.925072e+01
1.621810e+02,2.860388e+01
1.659587e+02,2.797057e+01
1.698244e+02,2.735057e+01
1.737801e+02,2.674365e+01
1.778279e+02,2.614959e+01
1.819701e+02,2.556815e+01
1.862087e+02,2.499911e+01
1.905461e+02,2.444224e+01
1.949845e+02,2.389733e+01
1.995262e+02,2.336414e+01
2.041738e+02,2.284246e+01
2.089296e+02,2.233207e+01
2.137962e+02,2.183276e+01
2.187762e+02,2.134430e+01
2.238721e+02,2.086649e+01
2.290868e+02,2.039912e+01
2.344229e+02,1.994198e+01
2.398833e+02,1.949487e+01
2.454709e+02,1.905758e+01
2.511886e+02,1.862993e+01
2.570396e+02,1.821171e+01
2.630268e+02,1.780273e+01
2.691535e+02,1.740280e+01
2.754229e+02,1.701174e+01
2.818383e+02,1.662937e+01
2.884032e+02,1.625549e+01
2.951209e+02,1.588994e+01
3.019952e+02,1.553254e+01
3.090295e+02,1.518311e+01
3.162278e+02,1.484150e+01
3.235937e+02,1.450753e+01
3.311311e+02,1.418105e+01
3.388442e+02,1.386189e+01
3.467369e+02,1.354990e+01
3.548134e+02,1.324493e+01
3.630781e+02,1.294681e+01
3.715352e+02,1.265542e+01
3.801894e+02,1.237059e+01
3.890451e+02,1.209220e+01
3.981072e+02,1.182009e+01
4.073803e+02,1.155414e+01
4.168694e+02,1.129421e+01
4.265795e+02,1.104018e+01
4.365158e+02,1.079190e+01
4.466836e+02,1.054926e+01
4.570882e+02,1.031213e+01
4.677351e+02,1.008040e+01
4.786301e+02,9.853937e+00
4.897788e+02,9.632637e+00
5.011872e+02,9.416384e+00
5.128614e+02,9.205066e+00
5.248075e+02,8.998575e+00
5.370318e+02,8.796805e+00
5.495409e+02,8.599653e+00
5.623413e+02,8.407017e+00
5.754399e+02,8.218798e+00
5.888437e+02,8.034898e+00
6.025596e+02,7.855222e+00
6.165950e+02,7.679678e+00
6.309573e+02,7.508174e+00
6.456542e+02,7.340622e+00
6.606934e+02,7.176934e+00
6.760830e+02,7.017025e+00
6.918310e+02,6.860812e+00
7.079458e+02,6.708213e+00
7.244360e+02,6.559150e+00
7.413102e+02,6.413543e+00
7.585776e+02,6.271318e+00
7.762471e+02,6.132400e+00
7.943282e+02,5.996715e+00
8.128305e+02,5.864194e+00
8.317638e+02,5.734765e+00
8.511380e+02,5.608363e+00
8.709636e+02,5.484919e+00
8.912509e+02,5.364369e+00
9.120108e+02,5.246651e+00
9.332543e+02,5.131701e+00
9.549926e+02,5.019459e+00
9.772372e+02,4.909866e+00
1.000000e+03,4.802865e+00
